municipality,girls_perc,boys_perc,year,latitude,longitude,pop_2020
Haninge,4.3,8.8,2016,59.14360875000002,18.144045,93690
Haninge,4.9,8.9,2020,59.14360875000002,18.144045,93690
Haninge,4.9,8.9,2020,59.14360875000002,18.144045,93690
Haparanda,1.9,4.0,2016,65.84703333333334,24.021995238095236,9601
Haparanda,3.8,7.2,2020,65.84703333333334,24.021995238095236,9601
Härjedalen,,5.3,2016,62.17709166666669,13.936837499999996,10070
Härjedalen,2.5,6.6,2020,62.17709166666669,13.936837499999996,10070
Härnösand,2.5,5.4,2016,62.63246363636368,17.901793181818192,25114
Härnösand,3.4,5.5,2020,62.63246363636368,17.901793181818192,25114
Härryda,2.8,5.4,2016,57.6673930232558,12.171293023255815,38246
Härryda,4.0,6.8,2020,57.6673930232558,12.171293023255815,38246
Hässleholm,4.5,6.6,2016,56.15108333333336,13.746390277777772,52010
Hässleholm,5.4,8.6,2020,56.15108333333336,13.746390277777772,52010
Heby,2.8,10.3,2016,59.97749999999999,16.961472222222223,14101
Heby,4.4,11.1,2020,59.97749999999999,16.961472222222223,14101
Heby,4.4,11.1,2020,59.97749999999999,16.961472222222223,14101
Hedemora,3.2,6.6,2016,60.30739600000002,15.979448,15462
Hedemora,3.8,7.6,2020,60.30739600000002,15.979448,15462
Helsingborg,1.1,3.2,2016,56.04175477178447,12.70498672199167,149280
Helsingborg,2.0,3.7,2020,56.04175477178447,12.70498672199167,149280
Herrljunga,2.7,6.7,2016,58.04254736842105,13.051926315789476,9444
Herrljunga,1.9,9.3,2020,58.04254736842105,13.051926315789476,9444
Hjo,2.3,6.9,2016,58.31084999999999,14.26757777777778,9229
Hjo,3.5,6.6,2020,58.31084999999999,14.26757777777778,9229
Hofors,4.7,9.4,2016,60.53741428571427,16.342871428571424,9570
Hofors,6.6,11.7,2020,60.53741428571427,16.342871428571424,9570
Höganäs,1.3,3.3,2016,56.20260294117647,12.575176470588232,27168
Höganäs,2.8,4.5,2020,56.20260294117647,12.575176470588232,27168
Högsby,3.2,5.4,2016,57.21564444444445,15.974038888888888,5731
Högsby,1.9,3.1,2020,57.21564444444445,15.974038888888888,5731
Höör,4.5,6.1,2016,55.93008421052631,13.54494210526316,16830
Höör,9.2,9.4,2020,55.93008421052631,13.54494210526316,16830
Hörby,4.4,5.1,2016,55.84451904761905,13.648938095238096,15653
Hörby,5.7,7.1,2020,55.84451904761905,13.648938095238096,15653
Huddinge,3.7,7.2,2016,59.24061743119269,18.01502752293579,113234
Huddinge,5.4,9.0,2020,59.24061743119269,18.01502752293579,113234
Huddinge,5.4,9.0,2020,59.24061743119269,18.01502752293579,113234
Hudiksvall,4.7,8.1,2016,61.71262903225805,17.056698387096798,37531
Hudiksvall,3.8,7.7,2020,61.71262903225805,17.056698387096798,37531
Hultsfred,1.7,3.8,2016,57.42891818181817,15.78972272727273,14107
Hultsfred,3.6,5.9,2020,57.42891818181817,15.78972272727273,14107
Hylte,3.0,6.3,2016,56.99880400000002,13.229672,10649
Hylte,5.5,10.7,2020,56.99880400000002,13.229672,10649
Järfälla,2.4,5.9,2016,59.3502178947368,17.965855789473647,81274
Järfälla,3.8,7.0,2020,59.3502178947368,17.965855789473647,81274
Järfälla,3.8,7.0,2020,59.3502178947368,17.965855789473647,81274
Jokkmokk,3.4,7.0,2016,66.52742272727272,20.01347272727272,4851
Jokkmokk,4.9,7.0,2020,66.52742272727272,20.01347272727272,4851
Jönköping,0.6,3.0,2016,57.78734920634928,14.17814920634916,142427
Jönköping,1.2,3.8,2020,57.78734920634928,14.17814920634916,142427
Kalix,2.3,4.2,2016,65.84290857142861,23.099577142857157,15812
Kalix,3.1,8.5,2020,65.84290857142861,23.099577142857157,15812
Kalmar,0.9,2.9,2016,56.65324175824178,16.30563186813184,70329
Kalmar,1.1,2.8,2020,56.65324175824178,16.30563186813184,70329
Karlsborg,5.6,11.2,2016,58.555575,14.462925000000004,6962
Karlsborg,3.9,11.6,2020,58.555575,14.462925000000004,6962
Karlshamn,2.6,6.0,2016,56.206613793103486,14.844822413793104,32402
Karlshamn,4.1,7.6,2020,56.206613793103486,14.844822413793104,32402
Karlskoga,2.4,5.2,2016,59.32670000000004,14.523900000000015,30263
Karlskoga,3.0,6.6,2020,59.32670000000004,14.523900000000015,30263
Karlskrona,0.9,2.7,2016,56.16411428571423,15.60637714285713,66515
Karlskrona,2.4,4.7,2020,56.16411428571423,15.60637714285713,66515
Karlstad,3.3,7.4,2016,59.38385826086945,13.497180000000002,94828
Karlstad,3.8,6.4,2020,59.38385826086945,13.497180000000002,94828
Katrineholm,2.4,6.7,2016,58.94870999999995,16.240668000000014,34765
Katrineholm,4.3,8.6,2020,58.94870999999995,16.240668000000014,34765
Kävlinge,2.8,5.6,2016,55.78151063829787,13.072608510638306,32020
Kävlinge,3.6,7.5,2020,55.78151063829787,13.072608510638306,32020
Kil,3.5,5.1,2016,59.462770588235294,13.220170588235291,12115
Kil,6.4,10.9,2020,59.462770588235294,13.220170588235291,12115
Kiruna,1.3,3.0,2016,67.83934042553194,20.38282340425532,22664
Kiruna,2.7,4.6,2020,67.83934042553194,20.38282340425532,22664
Klippan,4.3,7.8,2016,56.13442083333333,13.103966666666665,17738
Klippan,3.6,9.6,2020,56.13442083333333,13.103966666666665,17738
Knivsta,1.9,4.1,2016,59.72559999999999,17.78750000000001,19106
Knivsta,3.8,6.3,2020,59.72559999999999,17.78750000000001,19106
Knivsta,3.8,6.3,2020,59.72559999999999,17.78750000000001,19106
Köping,2.8,5.4,2016,59.518480952380926,16.002145238095242,26085
Köping,2.7,6.3,2020,59.518480952380926,16.002145238095242,26085
Kramfors,2.3,6.7,2016,62.93469069767439,17.844920930232565,18133
Kramfors,2.3,7.6,2020,62.93469069767439,17.844920930232565,18133
Kristianstad,2.1,5.2,2016,55.99065092592596,14.17063888888888,86217
Kristianstad,4.1,7.7,2020,55.99065092592596,14.17063888888888,86217
Kristinehamn,3.9,6.0,2016,59.32286888888889,14.065055555555556,24190
Kristinehamn,4.3,7.4,2020,59.32286888888889,14.065055555555556,24190
Krokom,1.8,5.2,2016,63.35727333333334,14.45252666666667,15054
Krokom,3.7,6.6,2020,63.35727333333334,14.45252666666667,15054
Kumla,2.1,4.8,2016,59.13159696969697,15.123069696969688,21862
Kumla,3.0,6.9,2020,59.13159696969697,15.123069696969688,21862
Kungälv,3.4,6.0,2016,57.87302727272732,11.935569090909093,47050
Kungälv,2.9,6.2,2020,57.87302727272732,11.935569090909093,47050
Kungsbacka,3.3,7.4,2016,57.47021999999998,12.03516375,84930
Kungsbacka,5.2,9.5,2020,57.47021999999998,12.03516375,84930
Kungsör,3.1,7.5,2016,59.43984444444445,16.095416666666665,8745
Kungsör,4.5,8.6,2020,59.43984444444445,16.095416666666665,8745
Laholm,4.2,5.8,2016,56.50058749999998,13.0323675,25967
Laholm,6.5,7.8,2020,56.50058749999998,13.0323675,25967
Landskrona,1.6,3.5,2016,55.882522916666666,12.834258333333327,46305
Landskrona,1.7,3.9,2020,55.882522916666666,12.834258333333327,46305
Laxå,3.8,4.0,2016,58.99250416666669,14.603116666666663,5659
Laxå,4.4,5.5,2020,58.99250416666669,14.603116666666663,5659
Lekeberg,2.8,5.1,2016,59.17031428571428,14.845299999999998,8472
Lekeberg,3.9,6.0,2020,59.17031428571428,14.845299999999998,8472
Leksand,2.1,6.0,2016,60.731778125000005,14.995415625000003,15801
Leksand,4.2,6.9,2020,60.731778125000005,14.995415625000003,15801
Lerum,1.8,5.1,2016,57.80651111111117,12.301466666666675,43020
Lerum,3.6,7.3,2020,57.80651111111117,12.301466666666675,43020
Lessebo,2.1,4.1,2016,56.7519,15.2697,8655
Lessebo,2.2,4.7,2020,56.7519,15.2697,8655
Lidingö,1.9,5.0,2016,59.365438333333366,18.12794666666665,48005
Lidingö,4.3,7.4,2020,59.365438333333366,18.12794666666665,48005
Lidingö,4.3,7.4,2020,59.365438333333366,18.12794666666665,48005
